Conference,Semifinal 1,Semifinal 2,Team,Current Elo (through 20260313),Tournament Win Probability,Tournament Win Probability (Pct)
Big Ten,Wisconsin vs Michigan,Purdue vs UCLA,Wisconsin,1951.31,0.098651,9.87%
Big Ten,Wisconsin vs Michigan,Purdue vs UCLA,Michigan,2183.3,0.611835,61.18%
Big Ten,Wisconsin vs Michigan,Purdue vs UCLA,Purdue,1991.27,0.179039,17.90%
Big Ten,Wisconsin vs Michigan,Purdue vs UCLA,UCLA,1940.85,0.110475,11.05%
SEC,Vanderbilt vs Florida,Ole Miss vs Arkansas,Vanderbilt,1957.62,0.133605,13.36%
SEC,Vanderbilt vs Florida,Ole Miss vs Arkansas,Florida,2141.66,0.554848,55.48%
SEC,Vanderbilt vs Florida,Ole Miss vs Arkansas,Ole Miss,1739.58,0.023956,2.40%
SEC,Vanderbilt vs Florida,Ole Miss vs Arkansas,Arkansas,1987.68,0.287592,28.76%
American,Charlotte vs South Florida,Tulsa vs Wichita State,Charlotte,1513.88,0.03439,3.44%
American,Charlotte vs South Florida,Tulsa vs Wichita State,South Florida,1801.87,0.493309,49.33%
American,Charlotte vs South Florida,Tulsa vs Wichita State,Tulsa,1763.22,0.290539,29.05%
American,Charlotte vs South Florida,Tulsa vs Wichita State,Wichita State,1708.64,0.181763,18.18%
A10,Dayton vs Saint Louis,St. Joseph's vs VCU,Dayton,1743.13,0.210829,21.08%
A10,Dayton vs Saint Louis,St. Joseph's vs VCU,Saint Louis,1756.58,0.237426,23.74%
A10,Dayton vs Saint Louis,St. Joseph's vs VCU,St. Joseph's,1692.03,0.129983,13.00%
A10,Dayton vs Saint Louis,St. Joseph's vs VCU,VCU,1829.77,0.421762,42.18%
Ivy,Cornell vs Yale,Penn vs Harvard,Cornell,1561.64,0.152498,15.25%
Ivy,Cornell vs Yale,Penn vs Harvard,Yale,1694.23,0.452325,45.23%
Ivy,Cornell vs Yale,Penn vs Harvard,Penn,1544.77,0.149763,14.98%
Ivy,Cornell vs Yale,Penn vs Harvard,Harvard,1598.66,0.245413,24.54%
